request_date,request_timestamp,warehouse_zone,aisle_number,shelf_level,distance_from_dock_meters,storage_type,active_retrievals_count,dock_queue_length,aisle_traffic_level,shift_hour,day_of_week,num_packages,total_weight_kg,requires_forklift,fragile_handling,num_aisles_to_visit,special_equipment_needed,operator_experience_years,operator_shift_fatigue,retrieval_time_minutes
2025-06-17,2025-06-17 08:57:32,Zone_C,10,Mid,321.0,pallet_rack,16,6.0,High,8,Tuesday,45,39.3,False,True,2,none,0.9,4.1,120.37
2025-07-21,2025-07-21 20:50:49,Zone_C,34,Mid,230.3,pallet_rack,16,7.0,Medium,20,Monday,6,89.6,True,False,1,none,4.8,2.5,69.82
2025-10-03,2025-10-03 21:52:15,Zone_A,19,Mid,18.3,bulk_floor,9,5.0,Medium,21,Friday,4,79.5,False,False,2,none,15.8,1.2,38.04
2025-09-17,2025-09-17 18:31:18,Zone_A,16,Floor,42.5,pallet_rack,25,19.0,High,18,Wednesday,11,601.6,True,False,7,cold_gear,3.5,8.7,260.89
2025-11-10,2025-11-10 21:34:27,Zone_A,47,Floor,14.1,pallet_rack,21,7.0,Low,21,Monday,2,153.3,True,True,4,none,2.8,3.1,85.03
2025-01-07,2025-01-07 16:44:57,Zone_A,37,Mid,45.0,bulk_floor,16,8.0,Medium,16,Tuesday,13,72.2,False,True,7,none,10.5,6.7,105.53
2025-03-26,2025-03-26 18:55:14,Zone_C,35,Mid,306.9,pallet_rack,11,0.0,Medium,18,Wednesday,23,21.4,False,False,1,none,2.5,0.7,75.0
2025-02-08,2025-02-08 10:11:17,Zone_C,13,Mid,380.5,pallet_rack,1,3.0,Medium,10,Saturday,31,8.7,False,False,1,none,8.3,4.1,52.25
2025-09-24,2025-09-24 23:35:40,Zone_B,3,Mid,150.1,cold_storage,16,9.0,Medium,23,Wednesday,1,58.2,False,True,2,cold_gear,16.1,1.7,104.37
2025-12-25,2025-12-25 10:09:11,Zone_B,21,Mid,109.3,pallet_rack,10,2.0,Medium,10,Thursday,18,318.4,False,False,1,none,7.3,5.8,47.53
2025-04-18,2025-04-18 07:58:25,Zone_A,6,High,64.8,cold_storage,13,2.0,Medium,7,Friday,4,196.2,True,False,1,cold_gear,11.4,11.3,117.86
2025-08-28,2025-08-28 18:31:51,Zone_C,17,Mid,342.0,pallet_rack,22,9.0,High,18,Thursday,4,87.9,False,False,1,none,12.6,11.2,125.05
2025-02-25,2025-02-25 08:05:57,Zone_C,46,Floor,351.2,pallet_rack,7,8.0,Medium,8,Tuesday,3,131.9,False,True,5,none,2.0,5.6,139.28
2025-08-05,2025-08-05 09:36:20,Zone_D,1,Floor,390.7,pallet_rack,1,8.0,Low,9,Tuesday,6,187.3,False,False,2,none,4.3,10.7,73.88
2025-10-06,2025-10-06 15:11:11,Zone_C,18,High,366.6,pallet_rack,18,12.0,Low,15,Monday,1,344.7,True,True,1,none,1.2,7.2,153.84
2025-05-20,2025-05-20 23:57:50,Zone_C,50,Mid,317.1,pallet_rack,14,5.0,Medium,23,Tuesday,43,164.8,False,False,5,none,2.2,8.4,120.89
2025-05-16,2025-05-16 18:41:53,Zone_B,48,Floor,48.3,hazmat,15,10.0,High,18,Friday,39,76.9,True,False,4,hazmat_suit,9.5,6.5,139.4
2025-02-13,2025-02-13 15:07:41,Zone_A,12,High,86.3,bulk_floor,16,9.0,Medium,15,Thursday,23,6.6,True,False,8,none,10.2,9.0,127.39
2025-09-04,2025-09-04 06:18:38,Zone_C,4,Floor,366.8,pallet_rack,14,3.0,Low,6,Thursday,1,168.9,False,False,5,none,8.6,8.4,115.4
2025-05-14,2025-05-14 17:19:11,Zone_C,9,Mid,246.6,bulk_floor,13,18.0,Low,17,Wednesday,42,108.7,False,False,1,none,6.4,3.8,82.25
2025-08-12,2025-08-12 11:23:59,Zone_A,5,Mid,74.3,bulk_floor,8,2.0,Medium,11,Tuesday,2,97.6,False,False,4,none,2.5,10.7,83.24
2025-01-27,2025-01-27 10:12:51,Zone_A,14,High,108.4,pallet_rack,17,3.0,Medium,10,Monday,1,64.3,True,False,3,none,8.1,9.8,118.43
2025-11-27,2025-11-27 10:30:25,Zone_D,13,Floor,435.2,pallet_rack,33,15.0,Medium,10,Thursday,6,9.4,False,False,7,none,6.4,3.4,185.5
2025-01-13,2025-01-13 06:44:42,Zone_A,40,Floor,23.9,bulk_floor,14,3.0,Medium,6,Monday,33,25.3,False,False,1,none,2.9,6.0,32.54
2025-01-23,2025-01-23 11:40:47,Zone_A,1,High,56.0,bulk_floor,13,10.0,Medium,11,Thursday,3,137.1,True,True,1,none,7.8,4.9,87.14
2025-10-26,2025-10-26 03:12:50,Zone_C,41,Floor,359.4,pallet_rack,12,12.0,High,3,Sunday,1,198.5,False,False,2,none,2.4,4.6,128.02
2025-01-20,2025-01-20 11:20:24,Zone_C,18,Mid,203.7,pallet_rack,12,2.0,Medium,11,Monday,56,201.2,False,False,5,none,1.4,7.9,113.49
2025-03-05,2025-03-05 09:42:53,Zone_B,40,Mid,106.2,cold_storage,7,2.0,Medium,9,Wednesday,14,44.9,False,False,4,cold_gear,0.9,,93.53
2025-01-17,2025-01-17 17:17:17,Zone_B,34,Mid,109.8,pallet_rack,14,16.0,Low,17,Friday,1,67.3,False,True,1,hazmat_suit,0.5,0.8,100.48
2025-11-04,2025-11-04 22:01:15,Zone_B,14,Mid,132.3,cold_storage,21,4.0,High,22,Tuesday,8,120.0,False,False,1,cold_gear,13.9,1.9,90.77
2025-05-13,2025-05-13 06:53:07,Zone_A,17,High,5.0,pallet_rack,20,8.0,Medium,6,Tuesday,12,36.1,True,False,9,none,5.0,3.2,136.67
2025-01-31,2025-01-31 22:31:11,Zone_C,48,Mid,349.4,pallet_rack,15,11.0,High,22,Friday,38,709.4,False,False,1,none,0.7,1.8,122.95
2025-10-10,2025-10-10 22:52:14,Zone_A,30,Mid,154.4,bulk_floor,18,5.0,High,22,Friday,33,36.3,False,False,2,none,6.5,8.4,92.39
